10,-184761
10,-874192
10,-24124578
10,-17630
10,3869719
10,167692
10,-2221716
10,-7778564
10,4668758
10,-74057444
10,-12807099
10,-28805806
10,-2972091
10,-18909846
10,24303
10,2135376
10,1564912
10,432xde2
10,3604889
10,61214
10,2262238
10,4850618
10,-46730685
10,172920
10,-38887714
10,1496323
10,-22332457
10,603051
10,-37772124
10,-28401289
10,-12174817
10,-24375817
11,8547664
11,1441089
11,1161918
11,-35288644
11,5495775
11,6535276
11,-13610212
11,6393886
11,-2993166
11,469636
11,-15230718
11,313128
11,-41183912
11,-15672620
11,-3802348
11,306724
11,-8136980
11,-28932746
11,-640832
12,-5486484
12,-16987630
12,2145917
12,-62769184
12,-27430443
12,2273685
12,3824250
12,819233
12,5381554
12,-6385561
12,1835020
12,417932
12,282782
12,229880
12,7067563
12,-345388
12,-98087
12,2525468
12,6773551
12,4164274
12,666784
12,362867
12,6988706
12,-5849416
12,2333411
12,1830641
12,-47567530
12,1948083
12,-39966795
12,5777735
12,-24618136
12,-14099695
12,-30906282
12,5043550
12,-2104168
12,117772
12,-17832199
12,-2672747
13,411106
13,4906428
13,121913
13,-8756808
13,543844
13,-42032164
13,-12915977
13,-8918366
13,-43779225
13,-11106007
13,648927
13,1825543
13,-17656392
13,-14147712
13,1429379
13,123862
13,322860
13,1784045
14,-43961698
14,-6011294
14,-1806415
14,3868622
14,-12192275
14,-25397588
14,-45539545
14,-60487859
14,6421691
14,-57974588
14,-7701706
14,-530527
14,-10618590
14,-6676636
14,5166867
14,-56458031
14,4690735
14,-16114146
14,77577
14,200755
14,1152808
14,149616
14,4559205
14,1147376
14,1955925
14,-9923992
14,3006211
14,771718
14,-1452818
14,403029
14,7535323
14,1990996
14,-3424843
15,5191102
15,4176886
15,2278847
15,-1068642
15,-7736600
15,-40510458
15,-2766320
15,154212
15,5414189
15,-24561709
15,136309
15,-26858869
15,-3687013
15,-30195206
15,47755
15,-31357852
15,-37379900
16,-34011043
16,-40345418
16,-53571858
16,-12557483
16,-65840835
16,5725479
16,-23990654
16,-69751560
16,202057
16,284632
16,-31495175
16,5759241
16,-7715899
16,1137792
16,-36711417
16,-7026402
16,508306
16,-9420731
16,208653
16,-21295039
16,5920624
16,2690493
16,-22305210
16,5170112
16,4779209
16,4911493
16,-10484801
16,-1760813
16,1477733
16,9190091
16,-20760
16,1597292
16,929414
16,1906836
16,-477908
16,-14115377
16,-33011604
16,1711297
16,57078
16,3144729
16,-4168364
16,2701672
16,572224
16,-77517566
16,-44087428
16,-2877357
16,1345708
16,-5663964
16,-274218
16,-3254476
16,-2714495
16,424445
16,-43370239
16,-9556852
16,-24352697
